article,version_number,version,name,image,id,combat,size,attributes,hitpoints,att,str,def,mage,range,attbns,strbns,amagic,mbns,arange,rngbns,dstab,dslash,dcrush,dmagic,drange 
Scarab Swarm,2,Pyramid Plunder,Scarab swarm,[[File:Scarab swarm.png]],1782,98,1,kalphite,25,255,5,30,1,1,0,0,0,0,0,0,90,90,5,90,90
Freidir,,,Freidir,[[File:Freidir.png|120px]],3938,48,1,,50,40,40,40,1,1,0,20,0,0,0,0,0,0,0,0,0
Borrokar,,,Borrokar,[[File:Borrokar.png|120px]],3939,48,1,,50,40,40,40,1,1,0,20,0,0,0,0,0,0,0,0,0
Lensa,,,Lensa,[[File:Lensa.png|120px]],3943,48,1,,50,40,40,40,1,1,0,20,0,0,0,0,0,0,0,0,0
Khazard Scorpion,,,Khazard Scorpion,[[File:Khazard Scorpion.png|250px]],1226,44,3,,40,40,39,34,1,1,0,0,0,0,0,0,5,15,15,0,5
Khazard Ogre,,,Khazard Ogre,[[File:Khazard Ogre.png|220px]],1225,63,2,,60,54,53,53,1,1,22,20,0,0,0,0,0,0,0,0,0
Locust rider,1,Ranger,Locust rider,[[File:Locust rider (ranged).png|250px]],796,98,2,,90,105,90,50,1,90,0,0,0,0,80,80,50,90,50,34,66
Locust rider,2,Ranger (Quest),Locust rider,[[File:Locust rider (ranged).png|250px]],801,68,2,,90,105,90,50,1,90,0,0,0,0,80,80,50,90,50,34,66
Locust rider,3,Lancer,Locust rider,[[File:Locust rider (melee).png|250px]],795,106,2,,90,100,90,90,1,1,0,30,0,0,0,0,90,90,40,0,0
Locust rider,4,Lancer (Quest),Locust rider,[[File:Locust rider (melee).png|250px]],800,68,2,,90,100,90,90,1,1,0,0,0,0,0,0,90,90,40,0,0
Scarab Mage,1,Level 66 (Quest),Scarab mage,[[File:Scarab Mage.png|130px]],799,66,1,kalphite,50,90,90,90,70,1,0,0,70,0,0,0,40,90,90,34,0
Scarab Mage,2,Level 93,Scarab mage,[[File:Scarab Mage.png|130px]],794,93,1,kalphite,50,90,90,90,70,1,0,0,70,70,0,80,40,90,90,34,0
Scarab Mage,3,Level 119 (Quest),Scarab mage,[[File:Scarab Mage.png|130px]],11508,119,1,kalphite,120,1,1,60,100,1,0,0,30,30,0,0,0,20,20,30,0
Zombie swab,1,1,Zombie swab,[[File:Zombie swab (1).png|150px]],619,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie swab,2,2,Zombie swab,[[File:Zombie swab (2).png|150px]],620,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie swab,3,3,Zombie swab,[[File:Zombie swab (3).png|120px]],621,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie swab,4,4,Zombie swab,[[File:Zombie swab (4).png|120px]],622,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie swab,5,5,Zombie swab,[[File:Zombie swab (5).png|150px]],623,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie swab,6,6,Zombie swab,[[File:Zombie swab (6).png|130px]],624,55,1,undead,50,45,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Baby Roc,,,Baby Roc,[[File:Baby Roc.png|250px]],762,75,1,,50,70,70,70,1,1,0,0,0,0,0,0,0,0,0,150,0
Poison Scorpion,,,Poison Scorpion,[[File:Poison Scorpion.png|280px]],3025,20,2,,23,16,17,15,1,1,0,0,0,0,0,0,5,15,15,0,5
Bouncer (ghost),,,Bouncer,[[File:Bouncer (ghost).png|250px]],"3508,3509",160,2,,120,145,145,145,1,1,0,0,0,0,0,0,0,0,0,0,0
Scarabs,,,Scarabs,[[File:Scarab swarm.png]],729,92,1,kalphite,25,255,2,10,1,1,0,0,0,0,0,0,15,15,15,15,15
Monkey Guard (ninja),,,Monkey Guard,[[File:Monkey Guard (ninja).png|300x300px]],5271,149,1,,130,130,130,130,130,1,,,,,,,0,0,0,0,0
Earth Warrior Champion,,,Earth Warrior Champion,[[File:Earth Warrior Champion.png|200px]],3328,102,1,,108,84,84,84,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie rat,1,1,Zombie rat,[[File:Zombie rat (1).png|200px]],3969,3,2,,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie rat,2,2,Zombie rat,[[File:Zombie rat (2).png|200px]],3970,3,2,,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Zombie rat,3,3,Zombie rat,[[File:Zombie rat (3).png|200px]],3971,3,1,,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Shade,1,Stronghold of Security,Shade,[[File:Shade.png|x300px]],6740,159,1,"undead, spectral",170,130,130,130,1,1,0,0,0,0,0,0,0,0,0,0,0
Shade,2,Catacombs of Kourend,Shade,[[File:Shade (Catacombs of Kourend).png|x300px]],7258,140,1,"undead, spectral",115,130,136,100,50,50,0,0,0,0,0,0,0,0,0,0,0
Nex,,,Nex,[[File:Nex.png|270px]],"11278,11279,11280,11281,11282",1001,3,,3400,315,200,260,230,350,200,20,100,22,150,5,40,140,60,300,190
Mercenary Captain,,,Mercenary Captain,[[File:Mercenary Captain.png|120px]],4635,47,1,,80,32,29,32,0,0,9,14,0,0,0,0,17,15,19,-3,19
Bird,1,Level 5,Bird,[[File:Bird (level 5).png]],"5241,10541",5,1,,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0
Bird,2,Level 11,Bird,[[File:Bird (level 11).png]],5240,11,1,,10,10,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0
Tentacle (Temple Trekking),,,Tentacle,[[File:Tentacle (Temple Trekking).png|130px]],"5643,5646",99,1,,75,115,76,75,50,115,0,0,0,0,0,0,0,0,0,0,0
Giant mosquito,,,Giant mosquito,[[File:Giant mosquito.png|260px]],1041,13,1,,3,5,1,45,1,1,0,0,0,0,0,0,2,2,5,2,0
Sir Lancelot,,,Sir Lancelot,[[File:Sir Lancelot.png|160px]],"4344,4354",127,1,,115,110,110,110,1,1,60,60,0,0,0,0,300,85,300,0,0
Nail beast,1,Level 69,Nail beast,[[File:Nail beast.png|250px]],2946,69,2,,55,150,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Nail beast,2,Level 98,Nail beast,[[File:Nail beast.png|250px]],2947,98,2,,65,215,16,30,1,1,0,0,0,0,0,0,0,0,0,0,0
Nail beast,3,Level 141,Nail beast,[[File:Nail beast.png|250px]],2948,141,2,,75,320,26,40,1,1,0,0,0,0,0,0,0,0,0,0,0
Energy sprite,,,Energy sprite,[[File:Energy sprite.png|200px]],6624,N/A,1,,62,,,,,,,,,,,,,,,,
Invrigar the Necromancer,,,Invrigar the Necromancer,[[File:Invrigar the Necromancer.png|120px]],511,20,1,,24,17,17,14,18,1,0,0,0,0,0,0,0,0,0,3,0
Bandosian guard,,,Bandosian guard,[[File:Bandosian guard.png|250px]],6588,125,1,,130,110,115,80,1,1,19,4,0,0,0,0,12,14,13,5,13
Armadylean guard,,,Armadylean guard,[[File:Armadylean guard.png|250px]],6587,97,2,,132,1,1,82,80,90,0,0,0,0,0,0,0,0,0,3,0
Ram,1,1,Ram,[[File:Ram.png|200px]],1262,2,1,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Ram,2,2,Ram,[[File:Ram (2).png|200px]],1263,2,1,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Ram,3,3,Ram,[[File:Ram (3).png|200px]],1264,2,1,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Ram,4,Monastery,Ram,[[File:Ram (Monastery).png|200px]],1265,2,1,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Ram,5,Sheared,Ram,[[File:Ram (shorn).png|200px]],1261,2,1,,8,1,1,1,1,1,-15,-15,0,0,0,0,-21,-21,-21,-21,-21
Rock Golem (monster),1,Level 14,Rock Golem,[[File:Rock Golem (monster).png|140px]],6725,14,1,Golem,25,9,9,9,1,8,0,0,0,0,0,0,0,0,0,0,0
Rock Golem (monster),2,Level 29,Rock Golem,[[File:Rock Golem (monster).png|140px]],6726,29,1,Golem,40,22,22,22,1,20,0,0,0,0,0,0,0,0,0,0,0
Rock Golem (monster),3,Level 49,Rock Golem,[[File:Rock Golem (monster).png|140px]],6727,49,1,Golem,60,38,38,38,1,35,0,0,0,0,0,0,0,0,0,0,0
Rock Golem (monster),4,Level 79,Rock Golem,[[File:Rock Golem (monster).png|140px]],6728,79,1,Golem,85,65,65,65,1,70,0,0,0,0,0,0,0,0,0,0,0
Rock Golem (monster),5,Level 120,Rock Golem,[[File:Rock Golem (monster).png|140px]],6729,120,1,Golem,120,100,100,100,1,75,0,0,0,0,0,0,0,0,0,0,0
Rock Golem (monster),6,Level 159,Rock Golem,[[File:Rock Golem (monster).png|140px]],6730,159,1,Golem,170,130,130,130,1,80,0,0,0,0,0,0,0,0,0,0,0
Penda,,,Penda,[[File:Penda.png|120px]],4109,5,1,,10,3,3,3,1,1,0,0,0,0,0,0,-12,-12,-12,-12,-12
Rusty,,,Rusty,[[File:Rusty.png|120px]],3281,2,1,,7,1,1,1,1,1,0,0,0,0,0,0,-15,-15,-15,-15,-15
Penance Runner,1,Wave 1,Penance Runner,[[File:Penance Runner (wave 1).png|180px]],"1669,5748",Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,2,Wave 2,Penance Runner,[[File:Penance Runner (wave 2).png|180px]],5749,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,3,Wave 3,Penance Runner,[[File:Penance Runner (wave 3).png|180px]],5750,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,4,Wave 4,Penance Runner,[[File:Penance Runner (wave 4).png|180px]],5751,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,5,Wave 5,Penance Runner,[[File:Penance Runner (wave 5).png|180px]],5752,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,6,Wave 6,Penance Runner,[[File:Penance Runner (wave 6).png|180px]],5753,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,7,Wave 7/10,Penance Runner,[[File:Penance Runner (wave 7).png|180px]],5754,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,8,Wave 8,Penance Runner,[[File:Penance Runner (wave 8).png|180px]],5755,Non-combat,1,,5,,,,,,,,,,,,,,,,
Penance Runner,9,Wave 9,Penance Runner,[[File:Penance Runner (wave 9).png|180px]],5756,Non-combat,1,,5,,,,,,,,,,,,,,,,
Ghoul Champion,,,Ghoul Champion,[[File:Ghoul Champion.png|140px]],3330,85,1,,100,60,80,60,1,60,0,0,0,0,0,0,0,0,0,0,0
Gnome child,1,Normal,Gnome child,[[File:Gnome child.png|90px]],6077,1,1,,2,1,1,1,1,1,-42,-42,0,0,0,0,-42,-42,-42,-42,-42
Gnome child,2,Blue,Gnome child,[[File:Gnome child (blue).png|90px]],6078,1,1,,2,1,1,1,1,1,-42,-42,0,0,0,0,-42,-42,-42,-42,-42
Gnome child,3,Green,Gnome child,[[File:Gnome child (green).png|90px]],6079,1,1,,2,1,1,1,1,1,-42,-42,0,0,0,0,-42,-42,-42,-42,-42
Water wizard,,,Water wizard,[[File:Water wizard.png|120px]],1557,13,1,,25,5,5,10,10,0,0,0,0,0,0,0,0,0,0,15,0
Earth wizard,,,Earth Wizard,[[File:Earth wizard.png|120px]],1558,13,1,,25,5,5,10,10,0,0,0,0,0,0,0,0,0,0,15,0
Animated Black Armour,,,Animated Black Armour,[[File:Animated Black Armour.png|120px]],2453,69,1,,60,60,60,60,1,1,4,5,0,0,0,0,50,25,19,400,400
Undead Lumberjack,1,Level 30,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5648,5649,5650,5651,5652,5653,5654,5655",30,1,undead,10,73,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,2,Level 35,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5656,5657,5658,5659,5660,5661,5662,5663",35,1,undead,12,,,,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,3,Level 40,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5665,5666,5667,5668,5669,5670,5671,5672",40,1,undead,12,101,6,12,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,4,Level 45,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5673,5674,5675,5676,5677,5678,5679,5680",45,1,undead,13,105,16,13,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,5,Level 50,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5681,5682,5683,5684,5685,5686,5687,5688",50,1,undead,14,117,16,14,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,6,Level 55,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5689,5690,5691,5692,5693,5694,5695,5696",55,1,undead,12,,,,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,7,Level 60,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5697,5698,5699,5700,5701,5702,5703,5704",60,1,undead,12,137,26,16,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,8,Level 64,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5705,5706,5707,5708,5709,5710,5711,5712",64,1,undead,12,,,,1,1,0,0,0,0,0,0,0,0,0,0,0
Undead Lumberjack,9,Level 70,Undead Lumberjack,[[File:Undead Lumberjack.png|120px]] [[File:Undead Lumberjack (2).png|120px]],"5713,5714,5715,5716,5717,5718,5719,5720",70,1,undead,12,,,,1,1,0,0,0,0,0,0,0,0,0,0,0
Asyn Shade,1,Shade,Asyn Shade,[[File:Asyn Shade.png|130px]],1284,100,1,"shade,undead,spectral",90,102,84,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Asyn Shade,2,Shadow,Asyn Shadow,[[File:Asyn Shadow.png|130px]],1283,100,1,"shade,undead,spectral",90,102,84,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Head (Temple Trekking),,,Head,[[File:Head (Temple Trekking).png|160px]],"5644,5645",140,1,,150,73,186,75,50,50,0,0,0,0,0,0,0,0,0,0,0
Riyl Shade,1,Shade,Riyl Shade,[[File:Riyl Shade.png|130px]],1282,80,1,"shade,undead,spectral",76,88,55,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Riyl Shade,2,Shadow,Riyl Shadow,[[File:Riyl Shadow.png|130px]],1281,80,1,"shade,undead,spectral",76,88,55,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrantax the Mighty,,,Thrantax the Mighty,[[File:Thrantax the Mighty.png|180px]],3518,92,1,,80,80,80,80,1,1,0,0,0,0,0,0,0,0,0,0,0
Dire Wolf,1,Level 88,Dire Wolf,[[File:Dire Wolf.png|280px]],3426,88,2,,85,75,75,75,1,1,0,0,0,0,0,0,0,0,0,0,0
Dire Wolf,2,Level 72,Dire Wolf,[[File:Dire Wolf (albino).png|280px]],9181,72,2,,74,60,61,62,1,1,0,0,0,0,0,0,0,0,0,0,0
Stag,,,Stag,[[File:Stag.png|200px]],1845,15,2,,19,11,13,13,1,1,0,0,0,0,0,0,0,0,0,0,0
Painted Goblin,,,Painted Goblin,[[File:Painted Goblin.png]],removed,11,,,15,,,,,,,,,,,,,,,,
Green Guard,,,Green Guard,[[File:Green Guard.png]],removed,19,,,22,,,,,,,,,,,,,,,,
Grip,,,Grip,[[File:Grip.png|120px]],4919,22,1,,25,18,17,18,1,1,5,7,0,0,0,0,16,27,22,0,0
General Danknuck,,,General Danknuck,[[File:General Danknuck.png]],removed,90,,,200,,,,,,,,,,,,,,,,
Soldier (Burthorpe),,,Soldier,[[File:Soldier (Burthorpe).png|120px]],4088,48,1,,50,40,40,40,1,0,11,12,0,0,0,0,15,23,21,6,14
Corporeal Beast,,,Corporeal Beast,[[File:Corporeal Beast.png|270px]],319,785,5,,2000,320,320,310,350,150,50,0,0,0,0,0,25,200,100,150,230
Dark energy core,,,Dark energy core,[[File:Dark energy core.png|150px]],320,75,1,,25,1,1,20,1,1,0,0,0,0,0,0,10,10,10,-5,10
Yuri,,,Yuri,[[File:Yuri.png|150px]],2615,24,1,,60,10,10,10,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Angry bear,1,Level 40,Angry bear,[[File:Angry bear (level 40).png|250px]],1060,40,2,,,,,,,,,,,,,,,,,,
Angry bear,2,Level 47,Angry bear,[[File:Angry bear (level 47).png|250px]],4692,47,2,,50,38,41,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Warrior woman,,,Warrior woman,[[File:Warrior woman.png|200px]],3260,24,1,,20,22,22,22,1,1,6,7,6,0,6,0,40,41,37,-10,38
Fire elemental,,,Fire elemental,[[File:Fire elemental.png|160px]],1365,35,1,fiery,30,35,35,20,20,20,0,0,0,0,0,0,0,0,0,0,0
White golem,,,White golem,[[File:White golem.png|130px]],4743,75,1,Golem,80,80,30,80,1,1,0,0,0,0,0,0,1,300,300,300,300
Black golem,,,Black golem,[[File:Black golem.png|130px]],4742,75,1,Golem,80,80,30,80,1,1,0,0,0,0,0,0,300,300,1,300,300
Grey golem,,,Grey golem,[[File:Grey golem.png|130px]],4744,75,1,Golem,80,80,30,80,1,1,0,0,0,0,0,0,300,1,300,300,300
Unusual Chicken,,,Unusual Chicken,[[File:Unusual Chicken.png|150px]],hist5447,1,,,3,,,,,,,,,,,,,,,,
Bruise Blamish Snail,1,Round,Bruise Blamish Snail,[[File:Bruise Blamish Snail (round).png|200px]],2647,20,1,,12,0,0,40,1,15,10,10,0,0,0,0,5,5,30,5,50
Bruise Blamish Snail,2,Pointed,Bruise Blamish Snail,[[File:Bruise Blamish Snail (pointed).png|200px]],2652,20,1,,15,0,0,27,1,20,10,10,0,0,0,0,5,5,30,5,50
Flower,,,Flower,[[File:Flower.png|x250px]],8584,N/A,1,,10,,,,,,,,,,,,,,,,
Phrin Shade,1,Shade,Phrin Shade,[[File:Phrin Shade.png|130px]],1280,60,1,"shade,undead,spectral",56,64,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Phrin Shade,2,Shadow,Phrin Shadow,[[File:Phrin Shadow.png|130px]],1279,60,1,"shade,undead,spectral",56,64,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Experiment No.2,,,Experiment No.2,[[File:Experiment No.2.png|150px]],5126,109,2,,95,104,92,90,1,100,0,0,0,0,0,0,45,70,60,60,55
Blessed spider,1,Normal,Blessed spider,[[File:Blessed spider.png|260px]],4533,39,1,,32,35,35,35,1,1,0,0,0,0,0,0,15,16,7,12,16
Blessed spider,2,Song of the Elves,Blessed spider,[[File:Blessed spider.png|260px]],8978,39,1,,32,35,35,35,1,1,0,0,0,0,0,0,15,16,7,12,16
Angry barbarian spirit,,,Angry barbarian spirit,[[File:Angry barbarian spirit.png|200px]],5563,166,1,spectral,190,150,140,100,1,1,9,15,0,0,0,0,0,3,2,-3,2
Berserk barbarian spirit,,,Berserk barbarian spirit,[[File:Berserk barbarian spirit.png|200px]],5565,166,1,spectral,190,150,140,100,1,1,9,15,0,0,0,0,0,3,2,-3,2
Enraged barbarian spirit,,,Enraged barbarian spirit,[[File:Enraged barbarian spirit.png|200px]],5564,166,1,spectral,190,150,140,100,1,1,9,15,0,0,0,0,0,3,2,-3,2
Ferocious barbarian spirit,,,Ferocious barbarian spirit,[[File:Ferocious barbarian spirit.png|200px]],5566,166,1,spectral,190,150,140,100,1,1,9,15,0,0,0,0,0,73,72,-3,72
Lost barbarian,,,Lost barbarian,[[File:Lost barbarian.png|130px]],2921,132,1,,124,115,114,110,1,1,0,0,0,0,0,0,0,0,0,0,0
Skeleton heavy,,,Skeleton heavy,[[File:Skeleton heavy.png|140px]],1540,132,1,undead,124,115,114,110,1,1,9,15,0,0,0,0,0,3,2,-3,2
Skeleton hero,,,Skeleton hero,[[File:Skeleton hero.png|130px]],1537,149,1,,124,145,134,110,1,1,9,15,0,0,0,0,0,3,2,-3,2
Skeleton thug,,,Skeleton thug,[[File:Skeleton thug.png|130px]],1541,132,1,undead,124,115,114,110,1,1,9,15,0,0,0,0,0,3,2,-3,2
Skeleton warlord,,,Skeleton warlord,[[File:Skeleton warlord.png|130px]],1539,132,1,undead,124,115,114,110,1,1,9,15,0,0,0,0,0,3,2,-3,2
Colonel Radick,,,Colonel Radick,[[File:Colonel Radick.png|130px]],4406,38,1,,65,25,25,25,1,1,9,13,0,0,0,0,39,31,34,0,0
Tower guard,,,Tower guard,[[File:Tower guard.png|160px]],4405,28,1,,22,26,26,26,1,1,8,8,0,0,0,0,23,35,28,0,0
Soldier (Yanille),,,Soldier,[[File:Soldier (Yanille).png|150px]],5421,28,1,,22,26,25,26,1,1,8,10,0,0,0,0,24,14,19,-4,16
Rooster,1,Level 2,Rooster,[[File:Rooster.png|160px]],3663,2,1,,5,1,1,1,1,1,-47,-42,0,0,0,0,-42,-42,-42,-42,-42
Rooster,2,Level 3,Rooster,[[File:Rooster.png|160px]],1175,3,1,,7,2,2,1,1,1,-20,-20,0,0,0,0,-42,-42,-42,-42,-42
Zulrah,1,Serpentine,Zulrah,[[File:Zulrah (serpentine).png|250px]],2042,725,5,,500,1,1,300,300,300,0,0,50,20,50,20,0,0,0,-45,50
Zulrah,2,Magma,Zulrah,[[File:Zulrah (magma).png|250px]],2043,725,5,,500,1,1,300,300,300,0,0,50,20,50,20,0,0,0,0,300
Zulrah,3,Tanzanite,Zulrah,[[File:Zulrah (tanzanite).png|250px]],2044,725,5,,500,1,1,300,300,300,0,0,50,20,50,20,0,0,0,300,0
Snakeling,1,Melee,Snakeling,[[File:Snakeling.png|250px]],2045,90,1,,1,140,138,1,1,1,120,0,0,0,0,0,-40,-40,-40,-40,-40
Snakeling,2,Magic,Snakeling,[[File:Snakeling.png|250px]],2046,90,1,,1,1,1,1,185,1,120,0,+80,-20,0,0,-40,-40,-40,-40,-40
Fear reaper,1,Level 42,Fear reaper,[[File:Fear reaper (Level 42).png|250px]],1066,42,2,,25,39,41,40,1,1,0,0,0,0,0,0,0,0,0,0,0
Fear reaper,2,Level 55,Fear reaper,[[File:Fear reaper (Level 55).png|250px]],4693,55,2,,57,45,48,45,1,1,0,0,0,0,0,0,0,0,0,0,0
Hobgoblin Champion,,,Hobgoblin Champion,[[File:Hobgoblin Champion.png|120px]],3354,56,1,,58,44,48,48,1,44,0,0,0,0,0,0,0,0,0,0,0
Jogre Champion,,,Jogre Champion,[[File:Jogre Champion.png|200px]],3356,107,2,,120,86,86,86,1,1,0,0,0,0,0,0,0,0,0,0,0
Khazard commander,,,Khazard commander,[[File:Khazard commander.png|130px]],4972,48,1,,22,50,45,50,1,1,0,0,0,0,0,0,0,0,0,0,0
Bloodworm,,,Bloodworm,[[File:Bloodworm.png|280px]],1678,52,1,,45,80,20,35,1,1,0,0,0,0,0,0,0,0,0,0,0
Blood Blamish Snail,1,Round,Blood Blamish Snail,[[File:Blood Blamish Snail (round).png|200px]],2645,20,1,,13,0,0,45,1,12,10,10,0,0,0,0,5,5,30,5,50
Blood Blamish Snail,2,Pointed,Blood Blamish Snail,[[File:Blood Blamish Snail (pointed).png|200px]],2650,20,1,,10,0,0,30,1,21,10,10,0,0,0,0,5,5,30,5,50
Undead one,1,Level 61,Undead one,"[[File:Undead one (Skeletal, 3).png|140px]] [[File:Undead one (Skeletal, 4).png|140px]]","5344,5345",61,1,undead,47,55,55,55,0,0,7,5,0,0,0,0,5,5,3,1,4
Undead one,2,Level 68 (Skeletal),Undead one,"[[File:Undead one (Skeletal).png|140px]] [[File:Undead one (Skeletal, 2).png|140px]]","5342,5343",68,1,undead,47,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Undead one,3,Level 68 (Zombie),Undead one,"[[File:Undead one (Zombie).png|90px]] [[File:Undead one (Zombie, 2).png|90px]] [[File:Undead one (Zombie, 3).png|90px]]","5346,5347,5348",68,1,undead,47,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Undead one,4,Level 73,Undead one,"[[File:Undead one (Zombie, 4).png|90px]] [[File:Undead one (Zombie, 5).png|90px]] [[File:Undead one (Zombie, 6).png|90px]]","5349,5350,5351",73,1,undead,59,65,65,65,0,0,4,5,0,0,0,0,0,0,0,0,0
Black Knight,,,Black Knight,[[File:Black Knight.png|150px]],"516,517,4331",33,1,,42,25,25,25,1,1,18,16,0,0,0,0,73,76,70,-11,72
Sir Bedivere,,,Sir Bedivere,[[File:Sir Bedivere.png|150px]],"4345,4361",110,1,,90,99,95,99,1,1,20,20,0,0,0,0,15,0,190,0,0
Desert Wolf,,,Desert Wolf,[[File:Desert Wolf.png|250px]],"4649,4650,4651",27,2,,34,20,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Shantay Guard,,,Shantay Guard,[[File:Shantay Guard.png|120px]],"4643,4648",22,1,,32,17,16,16,0,0,11,12,0,0,0,0,12,15,18,6,15
Crypt spider,,,Crypt spider,[[File:Crypt spider.png|250px]],1683,56,1,,60,45,47,45,1,1,0,0,0,0,0,0,20,20,10,17,20
Giant crypt spider,,,Giant crypt spider,[[File:Giant crypt spider.png|250px]],1684,79,1,,80,65,67,65,1,1,0,0,0,0,0,0,20,20,10,17,20
Huge spider,,,Huge spider,[[File:Huge spider.png|300px]],134,81,2,,90,59,70,69,1,1,0,0,0,0,0,0,0,0,0,0,0
Scorpia's offspring (monster),,,Scorpia's offspring,[[File:Scorpia's offspring (monster).png]],6616,15,1,,2,1,1,1,1,30,0,0,0,0,900,-30,0,0,0,-40,0
Black chinchompa (Hunter),,,Black chinchompa,[[File:Black chinchompa (Hunter).png|280px]],2912,2,,,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Fortress Guard,,,Fortress Guard,[[File:Fortress Guard (2).png|180px]],4773,20,1,,22,18,18,15,1,1,5,6,0,0,0,0,14,18,14,-4,15
Fortress Guard,,,Fortress Guard,[[File:Fortress Guard (3).png|150px]],4774,20,1,,22,18,18,15,1,1,5,6,0,0,0,0,14,18,14,-4,15
Fortress Guard,,,Fortress Guard,[[File:Fortress Guard.png|150px]],4775,20,1,,22,18,18,15,1,1,5,6,0,0,0,0,14,18,14,-4,15
Fortress Guard,,,Fortress Guard,[[File:Fortress Guard (4).png|180px]],4776,20,1,,22,18,18,15,1,1,5,6,0,0,0,0,14,18,14,-4,15
Fortress Guard,,,Fortress Guard,[[File:Fortress Guard (historical v3).png|120px]],4772,20,1,,22,18,18,15,1,1,5,6,0,0,0,0,14,18,14,-4,15
Angry giant rat,1,Level 45,Angry giant rat,"[[File:Angry giant rat (level 45, 1).png|250px]]",1062,45,1,,50,,,,,,,,,,,,,,,,
Angry giant rat,2,Level 47,Angry giant rat,"[[File:Angry giant rat (level 47, 1).png|250px]]","4689,4690",47,1,,50,38,41,38,1,1,0,0,0,0,0,0,0,0,0,0,0
Drunken man,,,Drunken man,[[File:Drunken man.png|120px]],3263,3,1,,7,1,3,1,1,1,0,0,0,0,0,0,-21,-21,-21,-21,-21
Shadow Hound,,,Shadow Hound,[[File:Shadow Hound.png|150px]],3449,63,1,,62,53,54,54,1,1,0,0,0,0,0,0,0,0,0,0,0
